dong,gu,incident_grade,subway_grade,construction_grade,groundwater,old,final_grade_simple
개포1동,강남구,5,5,5,3,5,5
개포2동,강남구,5,5,5,3,4,4
개포3동,강남구,5,5,5,3,2,4
개포4동,강남구,5,5,5,3,2,4
논현1동,강남구,5,5,5,4,1,4
논현2동,강남구,5,5,5,3,1,4
대치1동,강남구,5,5,5,3,3,4
대치2동,강남구,5,5,5,3,5,5
대치4동,강남구,5,5,5,3,1,4
도곡1동,강남구,5,5,5,3,2,4
도곡2동,강남구,5,5,5,3,1,4
삼성1동,강남구,5,5,5,4,2,4
삼성2동,강남구,5,5,5,4,1,4
세곡동,강남구,5,5,5,3,1,4
수서동,강남구,5,5,5,3,1,4
신사동,강남구,5,5,5,4,4,5
압구정동,강남구,5,5,5,3,5,5
역삼1동,강남구,5,5,5,3,1,4
역삼2동,강남구,5,5,5,3,1,4
일원1동,강남구,5,5,5,3,2,4
일원2동,강남구,5,5,5,3,2,4
일원본동,강남구,5,5,5,3,1,4
청담동,강남구,5,5,5,3,2,4
강일동,강동구,4,3,5,4,1,3
고덕제1동,강동구,4,3,5,3,1,3
고덕제2동,강동구,4,3,5,4,2,4
길동,강동구,4,3,5,3,1,3
둔촌제1동,강동구,4,3,5,3,1,3
둔촌제2동,강동구,4,3,5,3,2,3
명일제1동,강동구,4,3,5,3,3,4
명일제2동,강동구,4,3,5,3,1,3
상일제1동,강동구,4,3,5,3,3,4
상일제2동,강동구,4,3,5,3,1,3
성내제1동,강동구,4,3,5,3,2,3
성내제2동,강동구,4,3,5,3,1,3
성내제3동,강동구,4,3,5,3,1,3
암사제1동,강동구,4,3,5,4,1,3
암사제2동,강동구,4,3,5,4,1,3
암사제3동,강동구,4,3,5,4,1,3
천호제1동,강동구,4,3,5,3,1,3
천호제2동,강동구,4,3,5,4,1,3
천호제3동,강동구,4,3,5,3,1,3
미아동,강북구,3,1,1,3,2,2
번제1동,강북구,3,1,1,3,1,2
번제2동,강북구,3,1,1,3,2,2
번제3동,강북구,3,1,1,3,2,2
삼각산동,강북구,3,1,1,3,1,2
삼양동,강북구,3,1,1,3,1,2
송중동,강북구,3,1,1,3,2,2
송천동,강북구,3,1,1,3,3,2
수유제1동,강북구,3,1,1,2,2,2
수유제2동,강북구,3,1,1,2,1,2
수유제3동,강북구,3,1,1,2,1,2
우이동,강북구,3,1,1,1,1,1
인수동,강북구,3,1,1,2,2,2
가양제1동,강서구,5,4,5,3,1,4
가양제2동,강서구,5,4,5,2,1,3
가양제3동,강서구,5,4,5,2,1,3
공항동,강서구,5,4,5,3,1,4
등촌제1동,강서구,5,4,5,2,1,3
등촌제2동,강서구,5,4,5,3,1,4
등촌제3동,강서구,5,4,5,2,1,3
발산제1동,강서구,5,4,5,3,1,4
방화제1동,강서구,5,4,5,3,1,4
방화제2동,강서구,5,4,5,3,1,4
방화제3동,강서구,5,4,5,3,1,4
염창동,강서구,5,4,5,3,1,4
우장산동,강서구,5,4,5,3,1,4
화곡본동,강서구,5,4,5,3,1,4
화곡제1동,강서구,5,4,5,3,1,4
화곡제2동,강서구,5,4,5,3,1,4
화곡제3동,강서구,5,4,5,3,1,4
화곡제4동,강서구,5,4,5,3,1,4
화곡제6동,강서구,5,4,5,3,1,4
화곡제8동,강서구,5,4,5,3,1,4
낙성대동,관악구,1,1,1,1,1,1
난곡동,관악구,1,1,1,2,1,1
난향동,관악구,1,1,1,2,1,1
남현동,관악구,1,1,1,3,1,1
대학동,관악구,1,1,1,1,1,1
미성동,관악구,1,1,1,2,1,1
보라매동,관악구,1,1,1,2,2,1
삼성동,관악구,1,1,1,1,2,1
서림동,관악구,1,1,1,2,1,1
서원동,관악구,1,1,1,2,1,1
성현동,관악구,1,1,1,2,1,1
신림동,관악구,1,1,1,2,1,1
신사동,관악구,1,1,1,2,1,1
신원동,관악구,1,1,1,2,1,1
은천동,관악구,1,1,1,2,1,1
인헌동,관악구,1,1,1,2,1,1
조원동,관악구,1,1,1,2,1,1
중앙동,관악구,1,1,1,2,1,1
청룡동,관악구,1,1,1,2,1,1
청림동,관악구,1,1,1,2,1,1
행운동,관악구,1,1,1,2,1,1
광장동,광진구,1,2,4,3,3,3
구의제1동,광진구,1,2,4,3,1,2
구의제2동,광진구,1,2,4,3,1,2
구의제3동,광진구,1,2,4,3,1,2
능동,광진구,1,2,4,3,1,2
자양제1동,광진구,1,2,4,3,1,2
자양제2동,광진구,1,2,4,3,1,2
자양제3동,광진구,1,2,4,3,2,2
자양제4동,광진구,1,2,4,3,2,2
중곡제1동,광진구,1,2,4,3,1,2
중곡제2동,광진구,1,2,4,3,1,2
중곡제3동,광진구,1,2,4,3,2,2
중곡제4동,광진구,1,2,4,3,1,2
화양동,광진구,1,2,4,3,1,2
가리봉동,구로구,4,3,2,3,2,3
개봉제1동,구로구,4,3,2,3,1,3
개봉제2동,구로구,4,3,2,3,1,3
개봉제3동,구로구,4,3,2,3,1,3
고척제1동,구로구,4,3,2,3,3,3
고척제2동,구로구,4,3,2,3,1,3
구로제1동,구로구,4,3,2,3,4,3
구로제2동,구로구,4,3,2,3,2,3
구로제3동,구로구,4,3,2,3,1,3
구로제4동,구로구,4,3,2,3,2,3
구로제5동,구로구,4,3,2,4,1,3
수궁동,구로구,4,3,2,2,2,3
신도림동,구로구,4,3,2,3,1,3
오류제1동,구로구,4,3,2,2,1,2
오류제2동,구로구,4,3,2,2,1,2
항동,구로구,4,3,2,2,1,2
가산동,금천구,2,2,5,3,1,3
독산제1동,금천구,2,2,5,2,1,2
독산제2동,금천구,2,2,5,2,2,3
독산제3동,금천구,2,2,5,2,1,2
독산제4동,금천구,2,2,5,2,1,2
시흥제1동,금천구,2,2,5,2,3,3
시흥제2동,금천구,2,2,5,2,1,2
시흥제3동,금천구,2,2,5,2,3,3
시흥제4동,금천구,2,2,5,2,1,2
시흥제5동,금천구,2,2,5,2,3,3
공릉1동,노원구,3,3,1,3,1,2
공릉2동,노원구,3,3,1,3,1,2
상계10동,노원구,3,3,1,3,5,3
상계1동,노원구,3,3,1,4,1,2
상계2동,노원구,3,3,1,3,1,2
상계3·4동,노원구,3,3,1,3,1,2
상계5동,노원구,3,3,1,3,4,3
상계6·7동,노원구,3,3,1,3,5,3
상계8동,노원구,3,3,1,3,5,3
상계9동,노원구,3,3,1,3,5,3
월계1동,노원구,3,3,1,3,2,2
월계2동,노원구,3,3,1,3,1,2
월계3동,노원구,3,3,1,3,3,3
중계1동,노원구,3,3,1,3,1,2
중계2·3동,노원구,3,3,1,3,1,2
중계4동,노원구,3,3,1,3,1,2
중계본동,노원구,3,3,1,3,1,2
하계1동,노원구,3,3,1,3,2,2
하계2동,노원구,3,3,1,3,4,3
도봉제1동,도봉구,3,3,1,4,2,3
도봉제2동,도봉구,3,3,1,4,1,2
방학제1동,도봉구,3,3,1,3,1,2
방학제2동,도봉구,3,3,1,3,2,2
방학제3동,도봉구,3,3,1,2,3,2
쌍문제1동,도봉구,3,3,1,2,2,2
쌍문제2동,도봉구,3,3,1,2,3,2
쌍문제3동,도봉구,3,3,1,2,2,2
쌍문제4동,도봉구,3,3,1,2,3,2
창제1동,도봉구,3,3,1,3,1,2
창제2동,도봉구,3,3,1,3,1,2
창제3동,도봉구,3,3,1,3,2,2
창제4동,도봉구,3,3,1,3,4,3
창제5동,도봉구,3,3,1,3,1,2
답십리제1동,동대문구,5,5,4,2,1,3
답십리제2동,동대문구,5,5,4,2,1,3
용신동,동대문구,5,5,4,2,2,4
이문제1동,동대문구,5,5,4,3,1,4
이문제2동,동대문구,5,5,4,3,2,4
장안제1동,동대문구,5,5,4,3,1,4
장안제2동,동대문구,5,5,4,3,1,4
전농제1동,동대문구,5,5,4,2,1,3
전농제2동,동대문구,5,5,4,2,1,3
제기동,동대문구,5,5,4,3,2,4
청량리동,동대문구,5,5,4,3,3,4
회기동,동대문구,5,5,4,3,3,4
휘경제1동,동대문구,5,5,4,3,1,4
휘경제2동,동대문구,5,5,4,3,1,4
노량진제1동,동작구,4,5,4,3,1,3
노량진제2동,동작구,4,5,4,3,3,4
대방동,동작구,4,5,4,3,1,3
사당제1동,동작구,4,5,4,3,1,3
사당제2동,동작구,4,5,4,3,1,3
사당제3동,동작구,4,5,4,2,1,3
사당제4동,동작구,4,5,4,2,1,3
사당제5동,동작구,4,5,4,2,2,3
상도제1동,동작구,4,5,4,2,1,3
상도제2동,동작구,4,5,4,2,1,3
상도제3동,동작구,4,5,4,2,1,3
상도제4동,동작구,4,5,4,2,1,3
신대방제1동,동작구,4,5,4,3,2,4
신대방제2동,동작구,4,5,4,3,1,3
공덕동,마포구,4,4,1,3,2,3
대흥동,마포구,4,4,1,3,2,3
도화동,마포구,4,4,1,3,1,3
망원제1동,마포구,4,4,1,3,1,3
망원제2동,마포구,4,4,1,3,1,3
상암동,마포구,4,4,1,3,1,3
서강동,마포구,4,4,1,3,1,3
성산제1동,마포구,4,4,1,3,1,3
성산제2동,마포구,4,4,1,3,1,3
신수동,마포구,4,4,1,3,1,3
아현동,마포구,4,4,1,3,1,3
연남동,마포구,4,4,1,3,1,3
염리동,마포구,4,4,1,3,1,3
용강동,마포구,4,4,1,3,1,3
합정동,마포구,4,4,1,3,1,3
남가좌제1동,서대문구,1,1,1,3,1,1
남가좌제2동,서대문구,1,1,1,3,1,1
북가좌제1동,서대문구,1,1,1,3,2,2
북가좌제2동,서대문구,1,1,1,3,1,1
북아현동,서대문구,1,1,1,3,1,1
신촌동,서대문구,1,1,1,3,1,1
연희동,서대문구,1,1,1,3,2,2
천연동,서대문구,1,1,1,2,1,1
충현동,서대문구,1,1,1,3,3,2
홍은제1동,서대문구,1,1,1,2,2,1
홍은제2동,서대문구,1,1,1,3,2,2
홍제제1동,서대문구,1,1,1,2,1,1
홍제제2동,서대문구,1,1,1,2,1,1
홍제제3동,서대문구,1,1,1,2,2,1
내곡동,서초구,1,3,1,3,1,2
반포1동,서초구,1,3,1,3,1,2
반포2동,서초구,1,3,1,3,1,2
반포3동,서초구,1,3,1,3,4,2
반포4동,서초구,1,3,1,3,3,2
반포본동,서초구,1,3,1,3,1,2
방배1동,서초구,1,3,1,3,1,2
방배2동,서초구,1,3,1,2,1,2
방배3동,서초구,1,3,1,2,3,2
방배4동,서초구,1,3,1,3,3,2
방배본동,서초구,1,3,1,3,1,2
서초1동,서초구,1,3,1,3,1,2
서초2동,서초구,1,3,1,3,2,2
서초3동,서초구,1,3,1,3,1,2
서초4동,서초구,1,3,1,3,3,2
양재1동,서초구,1,3,1,3,1,2
양재2동,서초구,1,3,1,3,1,2
잠원동,서초구,1,3,1,4,3,2
광장동(성동X 주의),성동구,1,2,2,3,3,2
금호1가동,성동구,1,2,2,3,1,2
금호2·3가동,성동구,1,2,2,2,1,2
금호4가동,성동구,1,2,2,3,1,2
마장동,성동구,1,2,2,3,2,2
사근동,성동구,1,2,2,3,2,2
성수1가제1동,성동구,1,2,2,4,2,2
성수1가제2동,성동구,1,2,2,3,1,2
성수2가제1동,성동구,1,2,2,3,3,2
성수2가제3동,성동구,1,2,2,3,1,2
송정동,성동구,1,2,2,3,3,2
옥수동,성동구,1,2,2,3,1,2
왕십리도선동,성동구,1,2,2,2,1,2
왕십리제2동,성동구,1,2,2,2,1,2
응봉동,성동구,1,2,2,3,1,2
행당동(통칭),성동구,1,2,2,3,1,2
길음제1동,성북구,1,1,1,3,1,1
길음제2동,성북구,1,1,1,3,1,1
돈암제1동,성북구,1,1,1,3,1,1
돈암제2동,성북구,1,1,1,3,1,1
동선동,성북구,1,1,1,3,1,1
보문동,성북구,1,1,1,2,1,1
삼선동,성북구,1,1,1,2,2,1
석관동,성북구,1,1,1,3,1,1
성북동,성북구,1,1,1,3,3,2
안암동,성북구,1,1,1,3,2,2
월곡제1동,성북구,1,1,1,3,1,1
월곡제2동,성북구,1,1,1,3,1,1
장위제1동,성북구,1,1,1,3,1,1
장위제2동,성북구,1,1,1,3,3,2
장위제3동,성북구,1,1,1,3,1,1
정릉제1동,성북구,1,1,1,3,1,1
정릉제2동,성북구,1,1,1,3,1,1
정릉제3동,성북구,1,1,1,3,3,2
정릉제4동,성북구,1,1,1,3,1,1
종암동,성북구,1,1,1,3,1,1
가락1동,송파구,3,2,2,3,1,2
가락2동,송파구,3,2,2,3,2,2
가락본동,송파구,3,2,2,3,2,2
거여1동,송파구,3,2,2,2,1,2
거여2동,송파구,3,2,2,2,1,2
마천1동,송파구,3,2,2,2,1,2
마천2동,송파구,3,2,2,2,3,2
문정1동,송파구,3,2,2,3,1,2
문정2동,송파구,3,2,2,3,5,3
방이1동,송파구,3,2,2,3,2,2
방이2동,송파구,3,2,2,3,1,2
삼전동,송파구,3,2,2,3,1,2
석촌동,송파구,3,2,2,3,1,2
송파1동,송파구,3,2,2,3,4,3
송파2동,송파구,3,2,2,3,3,3
오금동,송파구,3,2,2,2,3,2
오륜동,송파구,3,2,2,3,5,3
위례동,송파구,3,2,2,2,1,2
잠실2동,송파구,3,2,2,3,1,2
잠실3동,송파구,3,2,2,3,3,3
잠실4가(지명 혼용시 주의),송파구,3,2,2,3,1,2
잠실4동,송파구,3,2,2,3,1,2
잠실6동,송파구,3,2,2,3,4,3
잠실7동,송파구,3,2,2,3,5,3
잠실본동,송파구,3,2,2,3,1,2
장지동,송파구,3,2,2,3,1,2
풍납1동,송파구,3,2,2,3,1,2
풍납2동,송파구,3,2,2,3,1,2
목1동,양천구,1,1,1,4,3,2
목2동,양천구,1,1,1,3,1,1
목3동,양천구,1,1,1,3,1,1
목4동,양천구,1,1,1,3,1,1
목5동,양천구,1,1,1,3,4,2
신월1동,양천구,1,1,1,3,1,1
신월2동,양천구,1,1,1,3,2,2
신월3동,양천구,1,1,1,3,2,2
신월4동,양천구,1,1,1,3,1,1
신월5동,양천구,1,1,1,3,1,1
신월6동,양천구,1,1,1,3,2,2
신월7동,양천구,1,1,1,3,5,2
신정1동,양천구,1,1,1,3,4,2
신정2동,양천구,1,1,1,3,1,1
신정3동,양천구,1,1,1,3,1,1
신정4동,양천구,1,1,1,3,1,1
신정6동,양천구,1,1,1,3,5,2
신정7동,양천구,1,1,1,3,2,2
당산제1동,영등포구,5,4,5,3,1,4
당산제2동,영등포구,5,4,5,3,1,4
대림제1동,영등포구,5,4,5,3,2,4
대림제2동,영등포구,5,4,5,3,2,4
대림제3동,영등포구,5,4,5,4,2,4
도림동,영등포구,5,4,5,4,1,4
문래동,영등포구,5,4,5,3,3,4
신길제1동,영등포구,5,4,5,3,2,4
신길제3동,영등포구,5,4,5,4,2,4
신길제4동,영등포구,5,4,5,4,2,4
신길제5동,영등포구,5,4,5,3,2,4
신길제6동,영등포구,5,4,5,3,4,4
신길제7동,영등포구,5,4,5,3,1,4
양평제1동,영등포구,5,4,5,3,2,4
양평제2동,영등포구,5,4,5,3,1,4
여의동,영등포구,5,4,5,4,4,4
영등포동,영등포구,5,4,5,4,1,4
영등포본동,영등포구,5,4,5,4,1,4
남영동,용산구,1,2,3,2,3,2
보광동,용산구,1,2,3,4,3,3
서빙고동,용산구,1,2,3,4,4,3
용문동,용산구,1,2,3,3,1,2
용산2가동,용산구,1,2,3,2,3,2
원효로제1동,용산구,1,2,3,3,1,2
원효로제2동,용산구,1,2,3,3,2,2
이촌제1동,용산구,1,2,3,3,2,2
이촌제2동,용산구,1,2,3,3,3,2
이태원제1동,용산구,1,2,3,3,4,3
이태원제2동,용산구,1,2,3,2,3,2
청파동,용산구,1,2,3,3,2,2
한남동,용산구,1,2,3,3,3,2
효창동,용산구,1,2,3,3,1,2
후암동,용산구,1,2,3,2,3,2
갈현제1동,은평구,2,4,4,2,2,3
갈현제2동,은평구,2,4,4,2,1,3
구산동,은평구,2,4,4,2,1,3
녹번동,은평구,2,4,4,2,1,3
대조동,은평구,2,4,4,2,1,3
불광제1동,은평구,2,4,4,2,2,3
불광제2동,은평구,2,4,4,2,1,3
수색동,은평구,2,4,4,3,1,3
신사제1동,은평구,2,4,4,3,1,3
신사제2동,은평구,2,4,4,3,2,3
역촌동,은평구,2,4,4,3,1,3
응암제1동,은평구,2,4,4,3,1,3
응암제2동,은평구,2,4,4,3,1,3
응암제3동,은평구,2,4,4,3,2,3
증산동,은평구,2,4,4,3,2,3
진관동,은평구,2,4,4,3,1,3
가회동,종로구,5,5,3,2,3,4
교남동,종로구,5,5,3,3,1,3
무악동,종로구,5,5,3,2,1,3
부암동,종로구,5,5,3,1,3,3
사직동,종로구,5,5,3,2,2,3
삼청동,종로구,5,5,3,2,4,4
숭인제1동,종로구,5,5,3,2,2,3
숭인제2동,종로구,5,5,3,2,1,3
이화동,종로구,5,5,3,2,2,3
종로1·2·3·4가동,종로구,5,5,3,2,3,4
종로5·6가동,종로구,5,5,3,2,4,4
창신제1동,종로구,5,5,3,2,3,4
창신제2동,종로구,5,5,3,2,1,3
창신제3동,종로구,5,5,3,2,4,4
청운효자동,종로구,5,5,3,2,3,4
평창동,종로구,5,5,3,1,3,3
혜화동,종로구,5,5,3,2,1,3
광희동,중구,4,5,3,2,4,4
다산동,중구,4,5,3,2,2,3
동화동,중구,4,5,3,2,1,3
명동,중구,4,5,3,2,3,3
소공동,중구,4,5,3,2,1,3
신당동,중구,4,5,3,2,3,3
약수동,중구,4,5,3,2,1,3
을지로동,중구,4,5,3,2,5,4
장충동,중구,4,5,3,2,1,3
중림동,중구,4,5,3,2,1,3
청구동,중구,4,5,3,2,1,3
필동,중구,4,5,3,2,4,4
황학동,중구,4,5,3,2,1,3
회현동,중구,4,5,3,2,3,3
망우본동,중랑구,3,4,3,3,2,3
망우제3동,중랑구,3,4,3,3,1,3
면목본동,중랑구,3,4,3,4,1,3
면목제2동,중랑구,3,4,3,4,3,3
면목제3·8동,중랑구,3,4,3,3,1,3
면목제4동,중랑구,3,4,3,3,1,3
면목제5동,중랑구,3,4,3,3,1,3
면목제7동,중랑구,3,4,3,3,1,3
묵제1동,중랑구,3,4,3,3,1,3
묵제2동,중랑구,3,4,3,3,1,3
상봉제1동,중랑구,3,4,3,4,1,3
상봉제2동,중랑구,3,4,3,4,1,3
신내1동,중랑구,3,4,3,3,1,3
신내2동,중랑구,3,4,3,3,1,3
중화제1동,중랑구,3,4,3,4,2,3
중화제2동,중랑구,3,4,3,4,2,3
